chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
2	8	0.837	0.8311	0.0864	0.918	0.9177	0.0446	0.932	0.9298	0.0359
2	9	0.875	0.8653	0.0788	0.951	0.9430	0.0328	0.9505	0.9461	0.0330
30	1	0.940	0.9303	0.0527	0.976	0.9694	0.0233	0.971	0.9663	0.0276
30	2	0.8845	0.8703	0.0770	0.951	0.9440	0.0349	0.946	0.9444	0.0303
30	3	0.859	0.8566	0.0988	0.936	0.9308	0.0473	0.942	0.9388	0.0381
30	4	0.7945	0.7892	0.0957	0.899	0.8967	0.0488	0.925	0.9178	0.0385
30	5	0.904	0.8927	0.0760	0.955	0.9489	0.0359	0.959	0.9537	0.0322
30	6	0.69	0.7079	0.1294	0.859	0.8694	0.0589	0.8825	0.8822	0.0508
30	7	0.699	0.7089	0.1356	0.8575	0.8608	0.0717	0.867	0.8712	0.0605
30	8	0.540	0.5379	0.1416	0.768	0.7783	0.0872	0.792	0.7919	0.0589
30	9	0.609	0.5854	0.2457	0.827	0.8218	0.1185	0.838	0.8156	0.1124
31	1	0.911	0.8984	0.0588	0.960	0.9555	0.0272	0.959	0.9546	0.0268
31	2	0.812	0.8061	0.0694	0.907	0.9060	0.0351	0.934	0.9279	0.0294
31	3	0.773	0.7759	0.0806	0.890	0.8902	0.0387	0.915	0.9085	0.0313
31	4	0.802	0.7925	0.0716	0.9	0.9018	0.0356	0.925	0.9212	0.0273
31	5	0.734	0.7293	0.0921	0.861	0.8723	0.0497	0.898	0.8936	0.0378
31	6	0.628	0.6093	0.1104	0.822	0.8184	0.0715	0.835	0.8252	0.0546
31	7	0.673	0.6833	0.1248	0.842	0.8503	0.0649	0.869	0.8713	0.0509
31	8	0.502	0.4823	0.2211	0.764	0.7478	0.1182	0.761	0.7459	0.1514
32	1	0.885	0.8772	0.0788	0.946	0.9435	0.0326	0.953	0.9446	0.0413
32	2	0.78	0.7677	0.1050	0.8965	0.8909	0.0526	0.8965	0.8971	0.0452
32	3	0.6985	0.7035	0.1034	0.854	0.8596	0.0546	0.8865	0.8859	0.0398
32	4	0.694	0.6960	0.1020	0.864	0.8555	0.0548	0.880	0.8786	0.0398
32	5	0.730	0.7373	0.1146	0.873	0.8717	0.0572	0.903	0.8993	0.0427
32	6	0.751	0.7319	0.1022	0.883	0.8730	0.0554	0.900	0.8925	0.0451
32	7	0.652	0.6661	0.1111	0.845	0.8461	0.0572	0.861	0.8622	0.0416
32	8	0.69	0.6913	0.1019	0.847	0.8473	0.0598	0.874	0.8695	0.0445
33	1	0.871	0.8693	0.0719	0.939	0.9349	0.0348	0.949	0.9450	0.0299
33	2	0.755	0.7608	0.1360	0.8935	0.8854	0.0687	0.9125	0.9031	0.0595
33	3	0.6695	0.6772	0.0983	0.838	0.8445	0.0586	0.8615	0.8555	0.0413
33	4	0.741	0.7334	0.1273	0.886	0.8770	0.0651	0.904	0.8935	0.0562
33	5	0.658	0.6686	0.1252	0.8395	0.8365	0.0659	0.8615	0.8667	0.0480
33	6	0.703	0.7154	0.1569	0.8735	0.8637	0.0839	0.8835	0.8795	0.0669
33	7	0.562	0.6194	0.1877	0.792	0.8123	0.0990	0.817	0.8234	0.0817
34	1	0.956	0.9350	0.0550	0.979	0.9718	0.0248	0.980	0.9739	0.0190
34	2	0.8535	0.8431	0.0898	0.931	0.9253	0.0433	0.944	0.9376	0.0346
34	3	0.753	0.7501	0.1352	0.882	0.8830	0.0716	0.9035	0.8938	0.0607
34	4	0.7755	0.7910	0.1134	0.908	0.9036	0.0545	0.917	0.9181	0.0410
34	5	0.724	0.7202	0.0785	0.8625	0.8646	0.0427	0.884	0.8857	0.0322
34	6	0.7505	0.7496	0.0851	0.877	0.8778	0.0465	0.9005	0.8996	0.0351
34	7	0.749	0.7513	0.0934	0.882	0.8836	0.0470	0.895	0.8938	0.0386
34	8	0.695	0.6837	0.1058	0.849	0.8511	0.0544	0.883	0.8793	0.0407
